drug_name,disease_name,protein_name
cortisol,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 2
methylprednisolone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
betamethasone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
betamethasone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 2
fludrocortisone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 2
fludrocortisone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
prednisolone,dermatitis herpetiformis,serpin family a member 6
triamcinolone,dermatitis herpetiformis,serpin family a member 6
prednisone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
dapsone,dermatitis herpetiformis,myeloperoxidase
cortisol,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
cortisol,dermatitis herpetiformis,sex hormone binding globulin
cortisol,dermatitis herpetiformis,serpin family a member 6
betamethasone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
imatinib,chronic eosinophilic leukemia,"kit proto-oncogene, receptor tyrosine kinase"
imatinib,chronic eosinophilic leukemia,"abl proto-oncogene 1, non-receptor tyrosine kinase"
imatinib,chronic eosinophilic leukemia,discoidin domain receptor tyrosine kinase 1
imatinib,chronic eosinophilic leukemia,n-ribosyldihydronicotinamide:quinone dehydrogenase 2
imatinib,chronic eosinophilic leukemia,solute carrier family 47 member 1
imatinib,chronic eosinophilic leukemia,"abl proto-oncogene 2, non-receptor tyrosine kinase"
imatinib,chronic eosinophilic leukemia,platelet derived growth factor receptor beta
imatinib,chronic eosinophilic leukemia,discoidin domain receptor tyrosine kinase 2
imatinib,chronic eosinophilic leukemia,dead-box helicase 3 x-linked
imatinib,myeloid neoplasm associated with pdgfra rearrangement,platelet derived growth factor receptor alpha
cortisol,adrenogenital syndrome,cytochrome p450 family 11 subfamily b member 1
nitric oxide,pulmonary arterial hypertension,guanylate cyclase 1 soluble subunit alpha 2
pge1,pulmonary arterial hypertension,prostaglandin e receptor 1
pge1,pulmonary arterial hypertension,prostaglandin e receptor 2
pge1,pulmonary arterial hypertension,prostaglandin i2 receptor
iloprost,pulmonary arterial hypertension,prostaglandin i2 receptor
iloprost,pulmonary arterial hypertension,prostaglandin e receptor 1
iloprost,pulmonary arterial hypertension,prostaglandin e receptor 4
iloprost,pulmonary arterial hypertension,prostaglandin e receptor 2
tadalafil,pulmonary arterial hypertension,phosphodiesterase 5a
nintedanib,interstitial lung disease,mitogen-activated protein kinase kinase kinase 2
nintedanib,interstitial lung disease,fibroblast growth factor receptor 3
nintedanib,interstitial lung disease,kinase insert domain receptor
nintedanib,interstitial lung disease,cdc like kinase 1
nintedanib,interstitial lung disease,axl receptor tyrosine kinase
nintedanib,interstitial lung disease,discoidin domain receptor tyrosine kinase 1
nintedanib,interstitial lung disease,nuak family kinase 2
nintedanib,interstitial lung disease,insulin receptor related receptor
nintedanib,interstitial lung disease,fms related receptor tyrosine kinase 1
nintedanib,interstitial lung disease,cyclin dependent kinase 16
nintedanib,interstitial lung disease,serine/threonine kinase 16
nintedanib,interstitial lung disease,rio kinase 1
nintedanib,interstitial lung disease,"mer proto-oncogene, tyrosine kinase"
nintedanib,interstitial lung disease,ste20 like kinase
nintedanib,interstitial lung disease,platelet derived growth factor receptor beta
nintedanib,interstitial lung disease,g protein-coupled receptor kinase 4
nintedanib,interstitial lung disease,maternal embryonic leucine zipper kinase
nintedanib,interstitial lung disease,cdc like kinase 4
nintedanib,interstitial lung disease,serine/threonine kinase 11
nintedanib,interstitial lung disease,srsf protein kinase 3
nintedanib,interstitial lung disease,ttk protein kinase
nintedanib,interstitial lung disease,platelet derived growth factor receptor alpha
nintedanib,interstitial lung disease,serine/threonine kinase 4
nintedanib,interstitial lung disease,protein kinase cgmp-dependent 1
nintedanib,interstitial lung disease,bmp2 inducible kinase
nintedanib,interstitial lung disease,pre-mrna processing factor kinase prp4k
nintedanib,interstitial lung disease,p21 (rac1) activated kinase 2
nintedanib,interstitial lung disease,phosphatidylinositol-5-phosphate 4-kinase type 2 beta
nintedanib,interstitial lung disease,mitogen-activated protein kinase kinase kinase 7
nintedanib,interstitial lung disease,fibroblast growth factor receptor 1
nintedanib,interstitial lung disease,mitogen-activated protein kinase kinase kinase 19
nintedanib,interstitial lung disease,mitogen-activated protein kinase kinase 5
nitrazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit gamma2
nitrazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit alpha1
nitrazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit beta2
nitrazepam,early myoclonic encephalopathy,sodium voltage-gated channel alpha subunit 1
nitrazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit beta3
clonazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit alpha1
clonazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit beta2
clonazepam,early myoclonic encephalopathy,gamma-aminobutyric acid type a receptor subunit gamma2
mexiletine,myotonic syndrome,sodium voltage-gated channel alpha subunit 4
prednisolone,allergic bronchopulmonary aspergillosis,serpin family a member 6
triamcinolone,diamond-blackfan anemia,serpin family a member 6
cortisol,diamond-blackfan anemia,sex hormone binding globulin
cortisol,diamond-blackfan anemia,serpin family a member 6
prednisolone,diamond-blackfan anemia,serpin family a member 6
prednisolone,diamond-blackfan anemia,androgen receptor
prednisone,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
triamcinolone,chronic beryllium disease,serpin family a member 6
cortisol,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
cortisol,chronic beryllium disease,sex hormone binding globulin
cortisol,chronic beryllium disease,serpin family a member 6
prednisone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
prednisolone,chronic beryllium disease,serpin family a member 6
vandetanib,medullary thyroid gland carcinoma,ret proto-oncogene
vandetanib,medullary thyroid gland carcinoma,kinase insert domain receptor
vandetanib,medullary thyroid gland carcinoma,tek receptor tyrosine kinase
vandetanib,medullary thyroid gland carcinoma,fms related receptor tyrosine kinase 3
vandetanib,medullary thyroid gland carcinoma,axl receptor tyrosine kinase
vandetanib,medullary thyroid gland carcinoma,"met proto-oncogene, receptor tyrosine kinase"
vandetanib,medullary thyroid gland carcinoma,discoidin domain receptor tyrosine kinase 1
vandetanib,medullary thyroid gland carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
cabozantinib,medullary thyroid gland carcinoma,discoidin domain receptor tyrosine kinase 1
lisuride,acromegaly,dopamine receptor d3
lisuride,acromegaly,5-hydroxytryptamine receptor 2b
lisuride,acromegaly,dopamine receptor d4
lisuride,acromegaly,dopamine receptor d5
bromocriptine,acromegaly,5-hydroxytryptamine receptor 6
bromocriptine,acromegaly,dopamine receptor d4
bromocriptine,acromegaly,5-hydroxytryptamine receptor 2b
bromocriptine,acromegaly,dopamine receptor d5
octreotide,acromegaly,somatostatin receptor 1
octreotide,acromegaly,somatostatin receptor 3
octreotide,acromegaly,somatostatin receptor 4
octreotide,acromegaly,somatostatin receptor 5
octreotide,acromegaly,somatostatin receptor 2
nicotine,pellagra,cholinergic receptor nicotinic alpha 4 subunit
nicotine,pellagra,cholinergic receptor nicotinic beta 2 subunit
nicotine,pellagra,cholinergic receptor nicotinic alpha 2 subunit
nicotine,pellagra,cholinergic receptor nicotinic beta 3 subunit
nicotine,pellagra,cholinergic receptor nicotinic alpha 6 subunit
ruxolitinib,myeloproliferative neoplasm,janus kinase 3
ruxolitinib,myeloproliferative neoplasm,"kit proto-oncogene, receptor tyrosine kinase"
ruxolitinib,myeloproliferative neoplasm,"abl proto-oncogene 1, non-receptor tyrosine kinase"
prednisolone,autoimmune hemolytic anemia,serpin family a member 6
cortisol,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
cortisol,autoimmune hemolytic anemia,sex hormone binding globulin
cortisol,autoimmune hemolytic anemia,serpin family a member 6
triamcinolone,autoimmune hemolytic anemia,serpin family a member 6
prednisone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
betamethasone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
prednisolone,uveitis,serpin family a member 6
fluorometholone,uveitis,serpin family a member 6
triamcinolone,uveitis,serpin family a member 6
cortisol,uveitis,sex hormone binding globulin
cortisol,uveitis,serpin family a member 6
cyclopentolate,uveitis,cholinergic receptor muscarinic 3
cyclopentolate,uveitis,cholinergic receptor muscarinic 1
azacitidine,chronic myelomonocytic leukemia,dna methyltransferase 3 alpha
azacitidine,chronic myelomonocytic leukemia,dna methyltransferase 1
azacitidine,chronic myelomonocytic leukemia,cytidine deaminase
midostaurin,aggressive systemic mastocytosis,microtubule affinity regulating kinase 3
midostaurin,aggressive systemic mastocytosis,protein kinase n1
midostaurin,aggressive systemic mastocytosis,tank binding kinase 1
midostaurin,aggressive systemic mastocytosis,mitogen-activated protein kinase kinase kinase 9
midostaurin,aggressive systemic mastocytosis,calcium/calmodulin dependent protein kinase ii alpha
midostaurin,aggressive systemic mastocytosis,"kit proto-oncogene, receptor tyrosine kinase"
midostaurin,aggressive systemic mastocytosis,serine/threonine kinase 4
midostaurin,aggressive systemic mastocytosis,pre-mrna splicing tri-snrnp complex factor prpf4
midostaurin,aggressive systemic mastocytosis,mitogen-activated protein kinase kinase kinase 11
midostaurin,aggressive systemic mastocytosis,fms related receptor tyrosine kinase 3
midostaurin,aggressive systemic mastocytosis,protein kinase n2
midostaurin,aggressive systemic mastocytosis,tankyrase 2
midostaurin,aggressive systemic mastocytosis,mitogen-activated protein kinase kinase kinase 19
midostaurin,mast cell leukemia,microtubule affinity regulating kinase 3
midostaurin,mast cell leukemia,protein kinase n1
midostaurin,mast cell leukemia,tank binding kinase 1
midostaurin,mast cell leukemia,mitogen-activated protein kinase kinase kinase 9
midostaurin,mast cell leukemia,calcium/calmodulin dependent protein kinase ii alpha
midostaurin,mast cell leukemia,serine/threonine kinase 4
midostaurin,mast cell leukemia,pre-mrna splicing tri-snrnp complex factor prpf4
midostaurin,mast cell leukemia,mitogen-activated protein kinase kinase kinase 11
midostaurin,mast cell leukemia,protein kinase n2
midostaurin,mast cell leukemia,tankyrase 2
midostaurin,mast cell leukemia,mitogen-activated protein kinase kinase kinase 19
carbamazepine,glossopharyngeal neuralgia,sodium voltage-gated channel alpha subunit 4
carbamazepine,glossopharyngeal neuralgia,sodium voltage-gated channel alpha subunit 5
carbamazepine,glossopharyngeal neuralgia,sodium voltage-gated channel alpha subunit 9
glibenclamide,neonatal diabetes mellitus,atp binding cassette subfamily c member 8
glibenclamide,neonatal diabetes mellitus,potassium inwardly rectifying channel subfamily j member 11
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 3
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 1
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 5
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 2
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 8
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 4
phenytoin,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 9
felbamate,lennox-gastaut syndrome,glutamate ionotropic receptor nmda type subunit 2a
felbamate,lennox-gastaut syndrome,glutamate ionotropic receptor nmda type subunit 2b
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 1
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 9
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 8
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 4
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 3
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 5
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 10
lamotrigine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 2
phenobarbital,lennox-gastaut syndrome,glutamate ionotropic receptor ampa type subunit 2
phenobarbital,lennox-gastaut syndrome,glutamate ionotropic receptor kainate type subunit 2
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor ampa type subunit 3
topiramate,lennox-gastaut syndrome,carbonic anhydrase 2
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor kainate type subunit 4
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor kainate type subunit 5
topiramate,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 5
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor ampa type subunit 2
topiramate,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 1
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor kainate type subunit 3
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor kainate type subunit 2
topiramate,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit alpha1
topiramate,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit beta2
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor ampa type subunit 1
topiramate,lennox-gastaut syndrome,carbonic anhydrase 4
topiramate,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit gamma2
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor ampa type subunit 4
topiramate,lennox-gastaut syndrome,glutamate ionotropic receptor kainate type subunit 1
carbamazepine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 4
carbamazepine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 5
carbamazepine,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 9
clobazam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit gamma2
clobazam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit alpha1
clobazam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit beta2
clonazepam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit alpha1
clonazepam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit beta2
clonazepam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit alpha3
clonazepam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit gamma2
clonazepam,lennox-gastaut syndrome,gamma-aminobutyric acid type a receptor subunit alpha2
